#Char	Unicode	Big5
庸	5EB8	V
庾	5EBE	V
廁	5EC1	V
廂	5EC2	V
廉	5EC9	V
廊	5ECA	V
廍	5ECD	
廕	5ED5	V
廖	5ED6	V
廚	5EDA	V
廟	5EDF	V
廠	5EE0	V
廢	5EE2	V
廣	5EE3	V
廬	5EEC	V
廳	5EF3	V
延	5EF6	V
廷	5EF7	V
建	5EFA	V
廿	5EFF	V
弄	5F04	V
弊	5F0A	V
式	5F0F	V
弓	5F13	V
弔	5F14	V
引	5F15	V
弘	5F18	V
弟	5F1F	V
弦	5F26	V
弧	5F27	V
弱	5F31	V
張	5F35	V
強	5F37	V
彈	5F48	V
彌	5F4C	V
彎	5F4E	V
彔	5F54	V
彗	5F57	V
彙	5F59	V
形	5F62	V
彥	5F65	V
彩	5F69	V
彪	5F6A	V
彬	5F6C	V
彭	5F6D	V
彰	5F70	V
影	5F71	V
彷	5F77	V
役	5F79	V
彼	5F7C	V
彿	5F7F	V
往	5F80	V
征	5F81	V
待	5F85	V
律	5F8B	V
後	5F8C	V
徐	5F90	V
徑	5F91	V
徒	5F92	V
得	5F97	V
徘	5F98	V
徙	5F99	V
徛	5F9B	V
從	5F9E	V
御	5FA1	V
復	5FA9	V
循	5FAA	V
微	5FAE	V
徵	5FB5	V
德	5FB7	V
徹	5FB9	V
徼	5FBC	V
心	5FC3	V
必	5FC5	V
忌	5FCC	V
忍	5FCD	V
忖	5FD6	V
志	5FD7	V
忘	5FD8	V
忙	5FD9	V
忝	5FDD	V
忠	5FE0	V
忤	5FE4	V
快	5FEB	V
念	5FF5	V
忽	5FFD	V
忿	5FFF	V
怎	600E	V
怏	600F	V
怐	6010	V
怒	6012	V
怕	6015	V
怖	6016	V
怙	6019	V
思	601D	V
怡	6021	V
急	6025	V
怦	6026	V
性	6027	V
怨	6028	V
怪	602A	V
怫	602B	V
怯	602F	V
恁	6041	V
恂	6042	V
恆	6046	V
恍	604D	V
恐	6050	V
恕	6055	V
恢	6062	V
恥	6065	V
恨	6068	V
恩	6069	V
恬	606C	V
恭	606D	V
息	606F	V
悅	6085	V
悉	6089	V
悔	6094	V
悖	6096	V
悟	609F	V
悠	60A0	V
患	60A3	V
悲	60B2	V
悴	60B4	V
悶	60B6	V
悼	60BC	V
悽	60BD	V
悾	60BE	V
情	60C5	V
惑	60D1	V
惘	60D8	V
惜	60DC	V
惝	60DD	V
惟	60DF	V
惠	60E0	V
惡	60E1	V
惰	60F0	V
惱	60F1	V
想	60F3	V
惶	60F6	V
惹	60F9	V
惻	60FB	V
愁	6101	V
愈	6108	V
愉	6109	V
愍	610D	V
意	610F	V
愕	6115	V
愖	6116	V
愚	611A	V
愛	611B	V
感	611F	V
愣	6123	V
愧	6127	V
慄	6144	V
慈	6148	V
態	614B	V
慌	614C	V
慍	614D	V
慎	614E	V
慒	6152	V
慕	6155	V
慘	6158	V
慢	6162	V
慣	6163	V
慧	6167	V
慨	6168	V
慮	616E	V
慰	6170	V
慳	6173	V
慶	6176	V
慷	6177	V
慼	617C	V
慾	617E	V
憂	6182	V
憐	6190	V
憑	6191	V
憔	6194	V
憚	619A	V
憢	61A2	V
憤	61A4	V
憫	61AB	V
憲	61B2	V
憶	61B6	V
憾	61BE	V
懂	61C2	V
懇	61C7	V
應	61C9	V
懊	61CA	V
懍	61CD	V
懦	61E6	V
懲	61F2	V
懵	61F5	V
懶	61F6	V
懷	61F7	V
懸	61F8	V
懺	61FA	V
懼	61FC	V
懿	61FF	V
戀	6200	V
戇	6207	V
戈	6208	V
戊	620A	V
戌	620C	V
成	6210	V
我	6211	V
戒	6212	V
或	6216	V
戚	621A	V
