㔂	lân
鯃	gôo
鯉	lí, lē
鯊	sua
鯗	siúnn, siónn
鯧	tshiunn, tshionn
鯨	king, kiang
鯪	lâ
鯮	tsang
鯰	liâm
鯽	tsit
鰇	jiû, liû
鰓	tshi
鰗	hôo
鰡	liu
鰮	un
鰱	liân
鰲	gô
鰻	muâ
鰾	piō
鱈	suat
鱉	pih, piat
鱔	siān
鱖	kuè, kè
鱗	lân, lîn
鱙	jiâu, liâu
鱟	hāu
鱲	la̍h
鱷	kho̍k, go̍k
鱸	lôo
鱺	lē
鳥	tsiáu, niáu
鳩	khiu
鳳	hōng
鳴	bîng
鴆	thim
鴉	a
鴒	līng
鴕	tô
鴛	uan
鴞	hio̍h, hiō, hiau
鴟	lāi, bā, ba̍h, lā, muā, nā, na̍h, tshi
鴣	koo
鴦	iunn, ionn, iong
鴨	ah
鴻	hông
鴿	kap, kah
鵁	ka
鵑	kuan
鵝	gô, giâ, ngôo
鵠	khok, khiat, khik
鵡	bú
鵤	kak
鵪	ian
鵬	pîng, phîng
鵰	tiau
鵲	tshik, tshiok
鵻	tsui
鶉	tshun, tun
鶖	tshiu
鶯	ing
鶴	ho̍h, ho̍k
鶶	thâng
鶿	tsî
鷓	tsià
鷗	oo
鷥	si
鷹	ing
鷺	lōo
鸕	lôo
鸚	ing
鸞	luân
鹹	kiâm
鹼	kinn, kiám
鹽	iâm
鹿	lo̍k
麒	kî, ki
麗	lē, lê
麝	siā
麟	lîn, lin
麥	be̍h, bē, bi̍k
麩	phoo, hu, pho
麭	pháng
麴	khak, kak
麵	mī, bīn, biān
麶	thi
麻	muâ, bâ, mâ, buâ
黃	n̂g, hông, uînn, ba
黍	sué, sé, sik
黎	lê
黏	liâm
黐	thi
黑	hik
黗	thûn
默	bi̍k
黛	tāi
黜	thuh, thut
點	tiám
黨	tóng
黯	ám
黹	tsí
黿	guân
鼇	ngôo
鼎	tiánn, tíng
鼓	kóo
鼠	tshí, tshú
鼢	bùn
鼻	phīnn, phī
鼾	kônn, huânn
齁	honn
齆	àng
齊	tsê, tsiâu, tsuê, tsè, tsâu
齋	tsai, tse
齒	khí
齡	lîng
齣	tshut
齧	khè, khuè, khueh, kheh
齪	tsak
齴	giàng
齷	ak
齻	tsan
龍	liông, lîng, gîng, long, liâng
龐	phiāng, pâng
龔	kíng
龕	kham
龜	ku, kui
	bū
行	kiânn
）	
𠕇	tīng, tān, tāinn
𠞩	tsuî
𠞭	liô
𠢕	gâu
𠯗	tsi̍p, si̍p
𡢃	kán
𡳞	lān
𢪱	bu̍t, but
𢯾	mooh
𢲸	lōo
𢼌	pa
𣁳	khat
𣛮	siānn, siā
𣮈	khu̍t, khut
𣻸	siûnn, siônn
𤆬	tshuā
𤉙	kûn
𤲍	kheh, khueh
𤶃	thiāu
𤺅	tshè, tshuì, tsuè, tsè, tsheh, tshe̍h
𤺪	siān
𥌚	bāi
𥍉	nih, liap
𥐵	phiat
𥑮	kóo, kó
𥰔	phín
𥴊	kám
𦉎	sui
𦊓	lîng
𦜆	ham
𦟪	liân
𧉟	tâi
𧌄	âm, am, iam, àm, hám, ám, ham
𧮙	tshoh, tsho̍h
𧿬	thún
𧿳	phu̍t
𨂾	làm
𨂿	uainnh, uáinn, uaih
𨑨	tshit, thit
𩑾	tshih
𩚨	khiū
𩛩	kauh
𩵱	ngóo
𩸙	tāi, tâi
𩸶	gām, kām
𪁎	tshio
𪐞	tòo
𪜶	in, īn
𫝏	gàn
𫝛	siāng, siâng
𫝺	hiù
𫝻	huê
𫞼	tshāi
𫟂	hân
𬦰	peh
𰣻	ko
