㔂	lân
季	kuì
孤	koo
孩	hâi
孫	sun, sng
孵	pū, hu
學	ha̍k, o̍h
孽	gia̍t
宅	the̍h, thi̍k
宇	ú
守	siú, tsiú, tsiúnn
安	an, uann
宋	sòng, siòng, sàng
完	uân
宏	hông
宕	tōng, thōng
宗	tsong
官	kuann, kuan
宙	tiū
定	tīng, tiānn
宛	uán
宜	gî
客	kheh, khik
宣	suan
室	sik, tsit
宥	iū
宦	huān
宮	kiong, king
宰	tsáinn, tsái
害	hāi
宴	iàn
宵	siau
家	ka, ke, kai
容	iông
宿	siok, sok, siù
寂	tsi̍k, siok
寄	kià, kiànn, kia̍h, khia̍h, khiā, kiat, kì
寅	în
密	bi̍t, ba̍t
寇	khòo
富	hù, pù
寐	bī
寒	hân, kuânn, gân
寓	gū, ú, ù
寞	bo̍k
察	tshat
寡	kuá, kuánn
寢	tshím, khím
寥	liâu
實	si̍t, tsa̍t
寧	lîng
寨	tsē
審	sím
寫	siá
寬	khuan, khuann
寮	liâu
寵	thióng, thíng
寶	pó
寸	tshùn
寺	sī
封	hong, pang
射	siā
將	tsiòng, tsiong, tsiàng
專	tsuan
尉	uì, ut
尊	tsun
尋	sîm, siâm
對	tuì, uì
導	tō
小	sió, siáu, sia̋u
少	siàu, tsió, siáu
尖	tsiam
尚	siūnn, siōng, sióng, siōnn
尤	iû
尪	ang
就	tsiū, tō, tiō, tio̍h, to̍h, tsū
尹	ún
尺	tshioh, tshe, tshik
尻	kha, ka
尼	nî, lî, luî
尾	bué, bé
尿	jiō, liō, giō
局	kio̍k
屁	phuì
屄	bai
居	ki, ku
屆	kài
屈	khut
屋	ok
屍	si
屎	sái, sú
屏	pîn, pîng
屐	kia̍h, kiā, khia̍h
屑	sut, sap
展	tián, thián
屘	ban
屜	thuah
屠	tôo
屢	lí
層	tsân, tsàn
履	lí
屧	siap
屬	sio̍k, tsiok
屯	tūn, tun
山	suann, san
岐	kî
岑	gîm
岡	kong
岩	giâm, gâm
岫	siū
岳	ga̍k
岸	huānn, gān
峇	bā, bâ
峰	hong
島	tó, tóo
峻	tsùn
峽	kiap
崁	khàm
崇	tsông
崎	kiā, kî
崔	tshui
崖	gâi
崗	kang, kong
崙	lūn, lún, lûn
崧	siông
崩	pang, ping
嵐	lâm
嵯	tshu
嶄	tsám
嶢	giâu
嶺	niá, líng
嶼	sū, sī
嶽	ga̍k
巒	luân
巔	tian
巖	giâm
川	tshng, tshuan, tshuinn
州	tsiu
巡	sûn
巢	tsâu
工	kang, khang, kong
左	tsó
巧	khiáu, khá, kháu
巨	kī, kū
巫	bû
差	tsha, tshe, tshai, tsua̍h
己	kí, kī, tī
已	í
巳	tsī, sū
巴	pa
巷	hāng
巽	sùn
巾	kin, kun
市	tshī
布	pòo, phòo
帆	phâng, huân
希	hi
帕	phè, phà
帖	thiap
帙	tia̍t
帚	tsiú, tshiú, siú
帛	pe̍h, pē, pi̍k
帝	tè
帥	suè, suì
師	su, sai, si
席	si̍k
帳	tiùnn, tiònn, tiòng
帶	tuà, tài
帷	uî
常	siông, tshiâng
帽	bō
幅	hok, pak
幌	hàinn, hiù
幔	mua
幕	bōo
幡	huan
幢	tông
幣	pè
幫	pang, phóng, png
干	kan
平	pîng, pênn, pînn, piânn, phîng
年	nî, liân
幸	hīng
幹	kàn
幻	huàn
幼	iù
幽	iu
幾	kuí, kí
庄	tsng
庇	pì, pí
床	tshn̂g, sn̂g, tshông
序	sī, sū
底	té, tué, tī, tí
店	tiàm
庚	kinn, kenn, king
府	hú
度	tōo, to̍k
座	tsō
庫	khòo
庭	tîng, tiânn
庵	am
康	khong, khng
庸	iông
庾	lú, jú
廁	tshè
廂	siunn, siong
廈	hā
廉	liâm
廊	lông
廍	phōo
廕	ìm
廖	liāu
廚	tû, tôo, tô
廟	biō
廠	tshiúnn, tshiónn
廢	huì, huè
廣	kóng, kńg
廨	kài
廳	thiann, thing
延	iân, tshiân
廷	tîng
建	kiàn
廿	jia̍p, lia̍p
弄	lāng, lōng
弊	pè, piah
式	sik, sit
弓	king, kiong, kin
弔	tiàu
引	ín
弘	hông
弟	tī, tē
弦	hiân
弧	hôo
弩	lóo
弱	jio̍k, lio̍k
張	tiunn, tiong, tng, tionn
強	kiông, kiōng, kióng
弼	pi̍t
彈	tuânn, tuānn, tân, thân, tān
彌	mí, ní, nî
彎	uan
彗	huī
彙	luī
形	hîng
彤	tông
彥	giān, gān
彧	hiok
彩	tshái
彪	piu
彬	pin
彭	phîng, phênn, phînn
彰	tsiong
影	iánn, íng
彷	hóng
役	ia̍h, i̍k
彼	hit, pí, he
彿	hut
往	óng, íng
征	tsing
待	thāi, tāi
徊	huê
律	lu̍t
後	āu, hiō, hōo, hāu
徐	tshî
徑	kìng
徒	tôo
得	tit, tik, eh, tsit, lit, te
徘	pâi
徙	suá
徛	khiā
從	tsiông, tsîng, tshiong
御	gū
復	ho̍k
循	sūn, sûn
微	bî, bui, bi
徵	ting, tin
德	tik
徹	thiat
徼	khiò
心	sim, sin
必	pit
忌	kī, khī, kì
忍	jím, lím, lún
忖	tshún
志	tsì
忘	bōng, bông
忙	bâng, bông
忝	thiám
忠	tiong
忤	ngóo
快	khuài, khuìnn, khuànn
念	liām
忽	hut
忿	hún
怎	tsuánn, nuá, ná, tsáinn
怏	ǹg
怐	khòo
怒	nōo
怕	phà, phànn
怖	pòo
怙	kōo
思	su, si, sù
怠	tāi
怡	î
急	kip
怦	phēnn, phīnn, phānn
性	sìng, sènn, sìnn, siàng
怨	uàn
怪	kuài, kuè
怫	phut
怯	khiap
恁	lín
恂	sún, sńg
恃	sī
恆	hîng
恍	hóng, huánn
恐	khióng
恕	sù
恢	khue, hue
恣	sù
恥	thí
恨	hūn, hīn
恩	un, in
恬	tiām
恭	kiong
息	sit, sik
悄	tshiáu
悅	ua̍t, ia̍t
悉	sik
悔	hué, huí
悖	puē
悟	ngōo, gōo
悠	iu
患	huān
悲	pi
悴	tsuī
悶	būn
悼	tō
悽	tshi, tshinn
悾	khong
情	tsîng, tsiânn
惑	hi̍k
惘	bóng
惜	sioh, sik
惝	tshíng
惟	uî, î
惠	huī
惡	ok, ònn
惰	tuānn, tō
惱	ló, lóo, náu, nóo
想	siūnn, sióng, siōnn
惶	hiânn, hông
惹	jiá, liá
惻	tshik
愁	tshiû
愈	lú, jú
愉	lû, jû
愍	bián
意	ì
愕	go̍k
愖	sīm
愚	gû
愛	ài
感	kám
愣	gāng
愧	khuì
愿	guān
慄	lik, la̍k
慈	tsû
態	thài, thāi
慌	hong
慍	ùn
慎	sīn
慒	tso
慕	bōo
慘	tshám
慟	tōng
慢	bān
慣	kuàn
慧	huī, huē
慨	khài
慮	lū, lī
慰	uì
慳	kian
慶	khìng
慷	khóng
慼	tsheh, tshueh, tshuè, tshik
慾	io̍k
憂	iu
憎	tsing
憐	liân, lîn
憑	pîn, pîng
憔	tsiâu
憚	tān
憢	giâu
憤	hùn
憫	bín
憲	hiàn
憶	ik
憾	hām
懂	tóng, táng
懇	khún
應	ìng, ìn, ing, iòng, iong, hun
懊	àu
懍	lún, nńg, líng
懦	nōo
懲	tîng
懵	bòng, bóng
懶	lán, nuā
懷	huâi, kuî
懸	kuân, kuâinn, hiân
懺	tshàm
懼	kū
懿	ì
戀	luân, luān
戇	gōng
戈	gòo, ko
戊	bōo
戌	sut
成	sîng, tsiânn, tshiânn, siânn
我	guá, ngóo
戒	kài
或	hi̍k
戚	tshik
戛	khiat
戟	kik
戥	tíng, tín
截	tsia̍t, tsue̍h
戮	lio̍k, lak
戰	tsiàn
戲	hì, hí
戳	thok
戴	tì, tài, tè
戶	hōo
戽	hòo
戾	lē
房	pâng, pông
所	sóo
扁	pínn, pián, pún, pán, phián, pín
扇	sìnn, siàn
扈	hōo
手	tshiú, siú, teh
才	tsâi, tsiah, tshâi
扎	tsah
扑	phok
扒	pê, pe
打	tánn, tá, tiám
托	thok, thuh
扛	kng, kong
扞	huānn
扣	khàu, khau
扦	tshuann
扭	liú, láu, niú, ngiú, náu, gió
扮	pān
扯	tshé
扱	khi̍p
扲	gīm, gîm
扳	pian, penn, pán, pan
扴	ke̍h
扶	hû, phôo
扷	ió
批	phue, phe, phi
扼	i̍k
找	tsāu
承	sîng, sîn
技	ki
抄	tshau
抉	kuat
把	pé, pá, pà
抌	tìm
抐	lā, lâ
抑	iah, ah, ia̍h, a̍h
抓	jiàu, liàu, niàu, giàu, ngiàu
抔	put
投	tâu
抗	khòng
折	tsiat, tsi̍h, tsik
抨	phiann, piann
披	phi
抰	ng, uinn
抱	phō, phāu, pō
抵	tí, té
抹	buah
押	ah, ap
抽	thiu, liu, thio
抾	khioh
抿	bín, bián
拂	hut
拄	tú, tuh
拆	thiah, liah
拇	bú, bó
拈	liam, ne, ni
拉	la, lá, lâ, ba
拊	hú
拋	pha, phau, phann
拌	puānn
拍	phah, phik
拎	lîng
拐	kuái, kuāinn, kuáinn, kuāi, kuainnh, kuaih
拑	khînn
拒	kī, kū
拓	thok
拔	pue̍h, pui̍h, pua̍t, pua̍h, pua̍nnh, puē
拖	thua
拗	áu, áunn
拘	khu
拙	tsuat
拚	piànn
招	tsiau, tsio
拜	pài
括	kuah, kuat
拭	tshit
拯	tsín
拱	kióng
拳	kûn, kuân
拶	suán
拷	khó
拹	hia̍p
拼	phing
拾	si̍p
拿	ná
持	tshî, tî
挂	kuì
挃	ti̍h, ti̍nnh
指	tsí, tsíng, tsáinn, kí, tsńg, tsuínn, tsái, tsín, tsán
挈	khe̍h
按	án, àn
挌	keh
挐	jû, lû
挑	thio, thiau, thiáu
挓	thà
挔	hiannh
挕	hìnn
挖	óo, ué
挨	e, ue, ai
挩	thuah
挫	tshò
振	tsín, tín
挲	so
挵	lòng
挹	ip
挺	thánn, thíng
挼	juê, lê, jê
挽	bán
挾	gia̍p, nge̍h
捀	phâng
捅	thóng
捆	khún
捉	tshiok
捋	lua̍h, luā, lua̍ih, luah
捌	bat, pat
捎	sa
捏	lia̍p, tēnn, tīnn, liap
